st_block_x,st_block_y,st_block_or,st_ee_x,st_ee_y,st_ee_tgt_x,st_ee_tgt_y,act_x,act_y,qval
-0.04423157,-0.3461224,2.6403983,-0.062458597,-0.40320793,-0.06015099,-0.39473695,0.35266307,0.9282934,0.0
-0.019709393,-0.256347,3.0511549,-0.028374424,-0.31218785,-0.024884686,-0.3019076,0.31003317,0.6536925,0.0
-0.007686496,-0.21968818,-2.6418507,0.0032987043,-0.24353296,0.006118633,-0.23653834,0.35939506,0.61899817,0.0
0.016967164,-0.14977297,-1.23211,0.03863365,-0.18106413,0.04205814,-0.17463851,-0.45708355,-0.390764,0.0
0.019942174,-0.14685084,-1.0865117,0.00040585513,-0.21048935,-0.0036502182,-0.21371491,0.31463683,0.8696721,0.0
0.042682555,-0.07746018,-1.135573,0.025655234,-0.13472942,0.027813472,-0.12674771,0.2861856,0.74945784,0.0
0.09682706,-0.435924,1.9016943,-0.00066170545,-0.7480884,0.0,-0.75,0.5057064,0.8234153,0.0
0.096825704,-0.43592396,1.9016905,0.046425946,-0.6739746,0.050570644,-0.66765845,0.1375287,0.8526475,0.0
0.09682518,-0.43592384,1.901686,0.06344339,-0.58953947,0.06432351,-0.5823937,0.22170138,0.9213563,0.0
0.09682449,-0.4359238,1.9016846,0.08497995,-0.49829337,0.08649365,-0.4902581,0.09109079,0.9410278,0.0
0.11497937,-0.32859442,1.5018663,0.0951432,-0.40455952,0.09560273,-0.3961553,0.31591642,0.7970878,0.0
0.11675896,-0.2869468,1.0844233,0.12427649,-0.32418332,0.12719437,-0.3164465,-0.12029202,0.8728056,0.0
0.096414015,-0.1290216,1.9055941,0.116187945,-0.23723675,0.115165174,-0.22916596,-0.23520525,0.61930007,0.0
0.09464107,-0.05891064,2.6673598,0.093822256,-0.17307611,0.09164465,-0.16723594,0.11785702,0.7186738,0.0
0.09650976,-0.055599272,2.7878356,0.102358945,-0.10254923,0.10343035,-0.095368564,-0.014494283,0.4088489,0.0
-0.056159656,-0.4078808,2.1043339,-0.00066170545,-0.7480884,0.0,-0.75,-0.63427484,0.93412673,0.0
