ep,which_goal,steps_accum,reward,diff,raw_input_action,asissted_action,gamma
1,,1,3.693787727105581,0.6279714,"([-0.00066170545, -0.7480884], array([0., 0.], dtype=float32))","([-0.00066170545, -0.7480884], array([-0.5297578,  0.3372014], dtype=float32))",0.2
1,,2,15.519558836033156,0.85437214,"([-0.04777762, -0.7184821], array([0., 0.], dtype=float32))","([-0.04777762, -0.7184821], array([0.076364815, 0.8509525  ], dtype=float32))",0.2
1,,3,16.35521345954387,0.08208394,"([-0.04448234, -0.6379137], array([0., 0.], dtype=float32))","([-0.04448234, -0.6379137], array([-0.057047926, -0.05901955 ], dtype=float32))",0.2
1,,4,20.52729243003411,0.516748,"([-0.05040937, -0.6359154], array([0., 0.], dtype=float32))","([-0.05040937, -0.6359154], array([-0.059776563,  0.5132789  ], dtype=float32))",0.2
1,,5,21.22864462459588,0.3055339,"([-0.0559962, -0.5891523], array([0., 0.], dtype=float32))","([-0.0559962, -0.5891523], array([ 0.2796222  , -0.123135634], dtype=float32))",0.2
1,,6,21.645742282192558,0.15979965,"([-0.03165013, -0.59608334], array([0., 0.], dtype=float32))","([-0.03165013, -0.59608334], array([0.15971479  , 0.0052073076], dtype=float32))",0.2
1,,7,24.619927068854892,0.22289848,"([-0.014907918, -0.5962932], array([0., 0.], dtype=float32))","([-0.014907918, -0.5962932], array([-0.050937694,  0.21700019 ], dtype=float32))",0.2
1,,8,32.53582631838913,0.46991494,"([-0.01787005, -0.5766161], array([0., 0.], dtype=float32))","([-0.01787005, -0.5766161], array([-0.08242756,  0.46262917], dtype=float32))",0.2
1,,9,31.520009869977216,0.27294695,"([-0.02540907, -0.5327476], array([0., 0.], dtype=float32))","([-0.02540907, -0.5327476], array([-0.23899698, -0.13183503], dtype=float32))",0.2
1,,10,34.85169193477301,0.38651726,"([-0.04804729, -0.54086417], array([0., 0.], dtype=float32))","([-0.04804729, -0.54086417], array([0.08857417, 0.37623158], dtype=float32))",0.2
1,,11,36.535098605735946,0.11824172,"([-0.042025488, -0.50743747], array([0., 0.], dtype=float32))","([-0.042025488, -0.50743747], array([0.09203676 , 0.074231654], dtype=float32))",0.2
1,,12,35.14099134582403,0.19668175,"([-0.033292208, -0.49763468], array([0., 0.], dtype=float32))","([-0.033292208, -0.49763468], array([ 0.06727132, -0.1848196 ], dtype=float32))",0.2
1,,13,34.59011061621612,0.10219055,"([-0.026376631, -0.51346785], array([0., 0.], dtype=float32))","([-0.026376631, -0.51346785], array([-0.09790535 , -0.029282251], dtype=float32))",0.2
1,,14,32.17933499272591,0.271696,"([-0.034594532, -0.51764035], array([0., 0.], dtype=float32))","([-0.034594532, -0.51764035], array([-0.16040936, -0.21928874], dtype=float32))",0.2
